panel,salt,solvent,base_solvent_dielc,trial_solvent_dielc,delta_eps,rmse,mae,bias,max_abs
7a,LiBr,ethanol,24.88,26.5,1.620000000000001,3.438171669525989,1.3949362831370413,-1.393700041024246,11.10162358786529
7a,LiBr,ethanol,24.88,26.75,1.870000000000001,3.427846064386476,1.3856850018515259,-1.384448808897266,11.071787443972546
7a,LiBr,ethanol,24.88,27.0,2.120000000000001,3.4175855037582052,1.3764629748304171,-1.3752268298993942,11.042117162106846
7a,LiBr,ethanol,24.88,27.25,2.370000000000001,3.4073941930213394,1.3672733517580193,-1.366037253751319,11.0126249335393
7a,LiBr,ethanol,24.88,27.5,2.620000000000001,3.397276067298562,1.3581191121183274,-1.3568830599718968,10.98332218434428
7a,LiBr,ethanol,24.88,27.75,2.870000000000001,3.387234800126934,1.3490030703032272,-1.347767062986504,10.954219600112708
7a,LiBr,ethanol,24.88,28.0,3.120000000000001,3.377273812183467,1.339927880774563,-1.338691917289123,10.92532715076391
7a,LiBr,ethanol,24.88,28.25,3.370000000000001,3.3673962801306403,1.3308960432680252,-1.3296601226462679,10.896654115748454
7a,LiBr,ethanol,24.88,28.5,3.620000000000001,3.357605145457863,1.321909907992004,-1.320674029296015,10.868209109210643
7a,LiBr,ethanol,24.88,28.75,3.870000000000001,3.347903123313979,1.312971680828859,-1.3117358431491957,10.840000105110674
7a,LiBr,ethanol,24.88,29.0,4.120000000000001,3.338292711315164,1.3040834285012244,-1.3028476309558,10.81203446229043
7a,LiBr,ethanol,24.88,29.25,4.370000000000001,3.3287761982339763,1.2959215095991192,-1.294011325413977,10.784318949176738
7a,LiBr,ethanol,24.88,29.5,4.620000000000001,3.3193556726252424,1.2879746974529989,-1.285228730237036,10.75685976828586
7a,LiBr,ethanol,24.88,29.75,4.870000000000001,3.3100330312760473,1.2800769288921032,-1.2765015251278637,10.729662580219971
7a,LiBr,ethanol,24.88,30.0,5.120000000000001,3.300809987542915,1.2722297440164148,-1.2678312706659063,10.702732527343354
7a,LiBr,ethanol,24.88,30.25,5.370000000000001,3.291688079526103,1.2648737822842446,-1.2592194131398209,10.676074256948597
7a,LiBr,ethanol,24.88,30.5,5.620000000000001,3.2826686780340495,1.2579515490383828,-1.2506672892213144,10.649691943852096
7a,LiBr,ethanol,24.88,30.75,5.870000000000001,3.2737529943922334,1.2510785300732072,-1.242176130581491,10.623589312495065
7a,LiBr,ethanol,24.88,31.0,6.120000000000001,3.2649420880060704,1.244255812371803,-1.2337470683544947,10.597769658354807
7a,LiBr,ethanol,24.88,31.25,6.370000000000001,3.2562368737625405,1.2379816506284351,-1.2253811375175196,10.572235868870251
7a,LiBr,ethanol,24.88,31.5,6.620000000000001,3.247638129205268,1.2320941380963772,-1.2170792811380438,10.546990443729552
7a,LiBr,ethanol,24.88,31.75,6.870000000000001,3.2391465014697323,1.2262553842682036,-1.2088423544886628,10.522035514438704
7a,LiBr,ethanol,24.88,32.0,7.120000000000001,3.2307625140091707,1.2204660778054963,-1.2006711290534822,10.49737286330017
